CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Customer_Segment,AOV,Purchase_Frequency_Yearly,CLV
12346.0,326,1,77183.6,1,1,5,115,Lost,77183.6,9.125,704300.3500000001
12347.0,2,7,4310.0,5,5,5,555,Champions,615.7142857142857,7.019230769230769,4321.840659340659
12348.0,75,4,1797.24,2,4,4,244,Need Attention,449.31,5.017182130584192,2254.2701030927833
12349.0,19,1,1757.55,4,1,4,414,Lost,1757.55,1.0518731988472623,1848.7197406340058
12350.0,310,1,334.4,1,1,2,112,Hibernating,334.4,6.517857142857143,2179.5714285714284
12352.0,36,8,2506.04,3,5,5,355,Loyal Customers,313.255,8.848484848484848,2771.832121212121
12353.0,204,1,89.0,1,1,1,111,Hibernating,89.0,2.253086419753086,200.52469135802468
12354.0,232,1,1079.4,1,1,4,114,Lost,1079.4,2.7238805970149254,2940.1567164179105
12355.0,214,1,459.4,1,1,2,112,Hibernating,459.4,2.401315789473684,1103.1644736842104
12356.0,23,3,2811.43,4,3,5,435,Potential Loyalists,937.1433333333333,3.192419825072886,2991.7549562682216
12357.0,33,1,6207.67,4,1,5,415,Lost,6207.67,1.0960960960960962,6804.2028528528535
12358.0,2,2,1168.06,5,2,4,524,Potential Loyalists,584.03,2.0054945054945055,1171.268956043956
12359.0,58,4,6310.03,3,4,5,345,Loyal Customers,1577.5075,4.740259740259741,7477.795292207792
12360.0,52,3,2662.06,3,3,5,335,Potential Loyalists,887.3533333333334,3.4872611464968157,3094.432802547771
12361.0,287,1,189.9,1,1,1,111,Hibernating,189.9,4.620253164556962,877.3860759493671
12362.0,3,10,5226.23,5,5,5,555,Champions,522.6229999999999,10.055096418732782,5255.024655647382
12363.0,110,2,552.0,2,2,3,223,Need Attention,276.0,2.8515625,787.03125
12364.0,8,4,1313.1,5,4,4,544,Champions,328.275,4.078212290502793,1338.7751396648043
12365.0,291,2,641.38,1,2,3,123,About to Sleep,320.69,9.733333333333333,3121.3826666666664
12367.0,4,1,168.9,5,1,1,511,New Customers,168.9,1.0082872928176796,170.29972375690608
12370.0,51,4,3541.94,3,4,5,345,Loyal Customers,885.485,4.634920634920635,4104.152698412699
12371.0,45,2,1887.96,3,2,4,324,Potential Loyalists,943.98,2.2741433021806854,2146.7457943925233
12372.0,72,3,1298.04,3,3,4,334,Potential Loyalists,432.68,3.724489795918367,1611.5122448979591
12373.0,311,1,364.6,1,1,2,112,Hibernating,364.6,6.636363636363637,2419.618181818182
12374.0,25,1,742.9300000000001,4,1,3,413,Lost,742.9300000000001,1.0703812316715542,795.2183284457478
12375.0,11,2,457.5,5,2,2,522,Potential Loyalists,228.75,2.056338028169014,470.38732394366195
12377.0,315,2,1628.12,1,2,4,124,About to Sleep,814.06,14.313725490196079,11652.231372549018
12378.0,130,1,4008.62,2,1,5,215,Lost,4008.62,1.5466101694915255,6199.7724576271185
12379.0,82,2,852.24,2,2,3,223,Need Attention,426.12,2.5704225352112675,1095.3084507042254
12380.0,22,4,2724.81,4,4,5,445,Champions,681.2025,4.244186046511628,2891.1501453488377
12381.0,5,5,1845.31,5,4,4,544,Champions,369.062,5.055401662049861,1865.7566481994459
12383.0,185,5,1850.56,1,4,4,144,About to Sleep,370.11199999999997,10.082872928176796,3731.79226519337
12384.0,29,2,585.27,4,2,3,423,Potential Loyalists,292.635,2.166172106824926,633.8977744807121
12386.0,338,2,401.9,1,2,2,122,About to Sleep,200.95,26.071428571428573,5239.053571428572
12388.0,16,6,2780.66,4,4,5,445,Champions,463.4433333333333,6.257142857142858,2899.8311428571433
12390.0,80,1,549.84,2,1,3,213,Lost,549.84,1.2762237762237763,701.7188811188812
12391.0,22,1,439.66,4,1,2,412,New Customers,439.66,1.061046511627907,466.49970930232564
12393.0,72,4,1582.6000000000001,3,4,4,344,Loyal Customers,395.65000000000003,4.965986394557823,1964.7925170068029
12394.0,64,2,1272.48,3,2,4,324,Potential Loyalists,636.24,2.4172185430463577,1537.9311258278146
12395.0,19,12,3018.63,4,5,5,455,Champions,251.5525,12.622478386167147,3175.2159942363114
12397.0,36,2,2409.9,3,2,5,325,Potential Loyalists,1204.95,2.212121212121212,2665.4954545454543
12398.0,46,1,1635.6599999999999,3,1,4,314,Lost,1635.6599999999999,1.140625,1865.6746875
12399.0,119,4,1108.65,2,4,4,244,Need Attention,277.1625,5.910931174089069,1638.2884615384617
12401.0,303,1,84.3,1,1,1,111,Hibernating,84.3,5.7936507936507935,488.40476190476187
12402.0,323,1,225.6,1,1,1,111,Hibernating,225.6,8.488372093023257,1914.9767441860467
12403.0,50,1,427.7,3,1,2,312,Promising,427.7,1.1550632911392404,494.0205696202531
12405.0,149,1,1710.39,2,1,4,214,Lost,1710.39,1.6820276497695852,2876.923271889401
12406.0,22,2,3415.3,4,2,5,425,Potential Loyalists,1707.65,2.122093023255814,3623.7921511627915
12407.0,50,5,1708.1200000000001,3,4,4,344,Loyal Customers,341.624,5.775316455696203,1972.9867088607596
12408.0,33,5,2888.55,4,4,5,445,Champions,577.71,5.48048048048048,3166.1283783783783
12409.0,79,3,11072.67,2,3,5,235,Need Attention,3690.89,3.8153310104529616,14081.967073170732
12410.0,309,2,693.3299999999999,1,2,3,123,About to Sleep,346.66499999999996,12.807017543859649,4439.744736842104
12412.0,75,3,1226.88,2,3,4,234,Need Attention,408.96000000000004,3.7628865979381443,1538.8701030927837
12413.0,67,3,758.1,3,3,3,333,Potential Loyalists,252.70000000000002,3.6622073578595318,925.4397993311037
12414.0,217,3,562.41,1,3,3,133,About to Sleep,187.47,7.348993288590604,1377.7157718120804
12415.0,24,21,124914.53,4,5,5,455,Champions,5948.310952380953,22.412280701754383,133315.21476608186
12417.0,3,9,3649.1,5,5,5,555,Champions,405.4555555555555,9.049586776859504,3669.2052341597796
12418.0,113,1,668.58,2,1,3,213,Lost,668.58,1.4426877470355732,964.5521739130436
12420.0,64,1,600.39,3,1,3,313,Lost,600.39,1.2086092715231789,725.6369205298014
12421.0,16,4,807.04,4,4,3,443,Loyal Customers,201.76,4.171428571428572,841.6274285714286
12422.0,96,3,803.5600000000001,2,3,3,233,Need Attention,267.85333333333335,4.055555555555555,1086.2940740740742
12423.0,1,8,1859.31,5,5,4,554,Champions,232.41375,8.0,1859.31
12424.0,163,2,1760.96,2,2,4,224,Need Attention,880.48,3.5960591133004924,3166.2581280788177
12425.0,78,1,777.2,2,1,3,213,Lost,777.2,1.2673611111111112,984.9930555555557
12426.0,195,1,582.73,1,1,3,113,Lost,582.73,2.134502923976608,1243.8388888888887
12427.0,22,3,825.8,4,3,3,433,Potential Loyalists,275.26666666666665,3.183139534883721,876.2122093023256
12428.0,26,9,7956.46,4,5,5,455,Champions,884.0511111111111,9.661764705882353,8541.493823529412
12429.0,9,4,3750.4,5,4,5,545,Champions,937.6,4.089635854341736,3834.442577030812
12430.0,43,1,256.4,3,1,2,312,Promising,256.4,1.130030959752322,289.73993808049534
12431.0,36,15,6419.95,3,5,5,355,Loyal Customers,427.99666666666667,16.59090909090909,7100.853787878787
12432.0,43,5,5059.32,3,4,5,345,Loyal Customers,1011.8639999999999,5.650154798761609,5717.188235294117
12433.0,1,7,13375.87,5,5,5,555,Champions,1910.8385714285716,7.0,13375.87
12434.0,85,2,806.14,2,2,3,223,Need Attention,403.07,2.597864768683274,1047.121352313167
12435.0,80,2,7829.89,2,2,5,225,Need Attention,3914.945,2.5524475524475525,9992.691783216784
12436.0,100,1,509.01,2,1,3,213,Lost,509.01,1.3721804511278195,698.4535714285714
12437.0,2,18,4951.41,5,5,5,555,Champions,275.0783333333333,18.049450549450547,4965.012774725274
12438.0,14,2,2906.85,4,2,5,425,Potential Loyalists,1453.425,2.0738636363636362,3014.205255681818
12441.0,367,1,173.55,1,1,1,111,Hibernating,173.55,-365.0,-63345.75000000001
12442.0,3,1,172.06,5,1,1,511,New Customers,172.06,1.0055096418732783,173.00798898071628
12444.0,21,5,5005.46,4,4,5,445,Champions,1001.092,5.2898550724637685,5295.631594202899
12445.0,22,1,133.4,4,1,1,411,New Customers,133.4,1.061046511627907,141.5436046511628
12446.0,58,1,1002.3100000000001,3,1,4,314,Lost,1002.3100000000001,1.1850649350649352,1187.8024350649353
12447.0,243,1,476.49,1,1,2,112,Hibernating,476.49,2.967479674796748,1413.9743902439025
12448.0,44,1,449.45,3,1,2,312,Promising,449.45,1.1335403726708075,509.4697204968944
12449.0,22,4,4067.29,4,4,5,445,Champions,1016.8225,4.244186046511628,4315.58386627907
12450.0,156,2,197.88,2,2,1,221,Hibernating,98.94,3.4761904761904763,343.9342857142857
12451.0,11,5,9035.52,5,4,5,545,Champions,1807.104,5.140845070422535,9290.041690140844
12452.0,17,2,430.57,4,2,2,422,Potential Loyalists,215.285,2.0916905444126073,450.3095988538681
12453.0,134,1,707.09,2,1,3,213,Lost,707.09,1.5732758620689655,1112.4476293103448
